Character
Katniss
Peeta
Effie
Cinna
F4
Jason
Cato
Clove
Marvel
Glimmer
F6
Foxface
M9
Rue
Thresh
M7
Haymitch
F10
M10
President Snow
Seneca
F9
M4
M3
F8
M8
M5
F3
F7
Gale
Primrose
Katniss' mom
